DATA;YEAR;MONTH;USDBRL
2000-01-01;2000;1;1.7997
2000-02-01;2000;2;1.7764
2000-03-01;2000;3;1.7431
2000-04-01;2000;4;1.7833
2000-05-01;2000;5;1.8382
2000-06-01;2000;6;1.8079
2000-07-01;2000;7;1.8106
2000-08-01;2000;8;1.8056
2000-09-01;2000;9;1.8438
2000-10-01;2000;10;1.8764
2000-11-01;2000;11;1.9441
2000-12-01;2000;12;1.9678
2001-01-01;2001;1;1.9475
2001-02-01;2001;2;1.9812
2001-03-01;2001;3;2.0864
2001-04-01;2001;4;2.1573
2001-05-01;2001;5;2.3384
2001-06-01;2001;6;2.4079
2001-07-01;2001;7;2.5538
2001-08-01;2001;8;2.5005
2001-09-01;2001;9;2.6986
2001-10-01;2001;10;2.779
2001-11-01;2001;11;2.5299
2001-12-01;2001;12;2.384
2002-01-01;2002;1;2.3705
2002-02-01;2002;2;2.438
2002-03-01;2002;3;2.3542
2002-04-01;2002;4;2.318
2002-05-01;2002;5;2.5117
2002-06-01;2002;6;2.7181
2002-07-01;2002;7;2.8455
2002-08-01;2002;8;3.1912
2002-09-01;2002;9;3.1506
2002-10-01;2002;10;3.8567
2002-11-01;2002;11;3.6797
2002-12-01;2002;12;3.7342
2003-01-01;2003;1;3.2983
2003-02-01;2003;2;3.658
2003-03-01;2003;3;3.3958
2003-04-01;2003;4;3.1154
2003-05-01;2003;5;2.9306
2003-06-01;2003;6;2.857
2003-07-01;2003;7;2.8554
2003-08-01;2003;8;2.993
2003-09-01;2003;9;2.8898
2003-10-01;2003;10;2.8268
2003-11-01;2003;11;2.9418
2003-12-01;2003;12;2.9293
2004-01-01;2004;1;2.8126
2004-02-01;2004;2;2.9085
2004-03-01;2004;3;2.9013
2004-04-01;2004;4;2.9064
2004-05-01;2004;5;3.0982
2004-06-01;2004;6;3.138
2004-07-01;2004;7;3.0215
2004-08-01;2004;8;3.0235
2004-09-01;2004;9;2.9042
2004-10-01;2004;10;2.8623
2004-11-01;2004;11;2.7991
2004-12-01;2004;12;2.7508
2005-01-01;2005;1;2.7074
2005-02-01;2005;2;2.5762
2005-03-01;2005;3;2.7621
2005-04-01;2005;4;2.5971
2005-05-01;2005;5;2.4715
2005-06-01;2005;6;2.4455
2005-07-01;2005;7;2.3427
2005-08-01;2005;8;2.3422
2005-09-01;2005;9;2.3012
2005-10-01;2005;10;2.2511
2005-11-01;2005;11;2.199
2005-12-01;2005;12;2.2957
2006-01-01;2006;1;2.2747
2006-02-01;2006;2;2.1375
2006-03-01;2006;3;2.1215
2006-04-01;2006;4;2.1426
2006-05-01;2006;5;2.1774
2006-06-01;2006;6;2.2845
2006-07-01;2006;7;2.213
2006-08-01;2006;8;2.148
2006-09-01;2006;9;2.154
2006-10-01;2006;10;2.1419
2006-11-01;2006;11;2.1537
2006-12-01;2006;12;2.147
2007-01-01;2007;1;2.1407
2007-02-01;2007;2;2.0896
2007-03-01;2007;3;2.0909
2007-04-01;2007;4;2.0231
2007-05-01;2007;5;1.9922
2007-06-01;2007;6;1.9097
2007-07-01;2007;7;1.8684
2007-08-01;2007;8;2.0043
2007-09-01;2007;9;1.9031
2007-10-01;2007;10;1.8078
2007-11-01;2007;11;1.7378
2007-12-01;2007;12;1.7959
2008-01-01;2008;1;1.745
2008-02-01;2008;2;1.7541
2008-03-01;2008;3;1.6947
2008-04-01;2008;4;1.6822
2008-05-01;2008;5;1.6601
2008-06-01;2008;6;1.6368
2008-07-01;2008;7;1.591
2008-08-01;2008;8;1.6389
2008-09-01;2008;9;1.8125
2008-10-01;2008;10;2.1551
2008-11-01;2008;11;2.28
2008-12-01;2008;12;2.369
2009-01-01;2009;1;2.3803
2009-02-01;2009;2;2.268
2009-03-01;2009;3;2.3012
2009-04-01;2009;4;2.1992
2009-05-01;2009;5;2.0762
2009-06-01;2009;6;1.9458
2009-07-01;2009;7;1.942
2009-08-01;2009;8;1.8385
2009-09-01;2009;9;1.8087
2009-10-01;2009;10;1.7037
2009-11-01;2009;11;1.729
2009-12-01;2009;12;1.7557
2010-01-01;2010;1;1.7711
2010-02-01;2010;2;1.867
2010-03-01;2010;3;1.7644
2010-04-01;2010;4;1.7483
2010-05-01;2010;5;1.7967
2010-06-01;2010;6;1.7971
2010-07-01;2010;7;1.769
2010-08-01;2010;8;1.7716
2010-09-01;2010;9;1.7169
2010-10-01;2010;10;1.6604
2010-11-01;2010;11;1.7198
2010-12-01;2010;12;1.6988
2011-01-01;2011;1;1.6843
2011-02-01;2011;2;1.6682
2011-03-01;2011;3;1.6692
2011-04-01;2011;4;1.5776
2011-05-01;2011;5;1.6328
2011-06-01;2011;6;1.596
2011-07-01;2011;7;1.5743
2011-08-01;2011;8;1.5956
2011-09-01;2011;9;1.7106
2011-10-01;2011;10;1.7376
2011-11-01;2011;11;1.7649
2011-12-01;2011;12;1.8609
2012-01-01;2012;1;1.7853
2012-02-01;2012;2;1.7158
2012-03-01;2012;3;1.8006
2012-04-01;2012;4;1.8364
2012-05-01;2012;5;1.9941
2012-06-01;2012;6;2.0443
2012-07-01;2012;7;2.0332
2012-08-01;2012;8;2.0338
2012-09-01;2012;9;2.0234
2012-10-01;2012;10;2.0139
2012-11-01;2012;11;2.0382
2012-12-01;2012;12;2.084
2013-01-01;2013;1;2.0374
2013-02-01;2013;2;1.96
2013-03-01;2013;3;1.9749
2013-04-01;2013;4;1.979
2013-05-01;2013;5;2.0233
2013-06-01;2013;6;2.1367
2013-07-01;2013;7;2.2548
2013-08-01;2013;8;2.3434
2013-09-01;2013;9;2.2785
2013-10-01;2013;10;2.1818
2013-11-01;2013;11;2.3289
2013-12-01;2013;12;2.3354
2014-01-01;2014;1;2.347
2014-02-01;2014;2;2.3924
2014-03-01;2014;3;2.3638
2014-04-01;2014;4;2.2257
2014-05-01;2014;5;2.2166
2014-06-01;2014;6;2.2347
2014-07-01;2014;7;2.2195
2014-08-01;2014;8;2.269
2014-09-01;2014;9;2.3401
2014-10-01;2014;10;2.4316
2014-11-01;2014;11;2.6136
2014-12-01;2014;12;2.6717
2015-01-01;2015;1;2.6122
2015-02-01;2015;2;2.8392
2015-03-01;2015;3;3.2264
2015-04-01;2015;4;3.0681
2015-05-01;2015;5;2.9884
2015-06-01;2015;6;3.1036
2015-07-01;2015;7;3.1532
2015-08-01;2015;8;3.4761
2015-09-01;2015;9;3.8599
2015-10-01;2015;10;3.8344
2015-11-01;2015;11;3.8023
2015-12-01;2015;12;3.8703
2016-01-01;2016;1;3.8711
2016-02-01;2016;2;3.9885
2016-03-01;2016;3;3.7116
2016-04-01;2016;4;3.5276
2016-05-01;2016;5;3.5041
2016-06-01;2016;6;3.4768
2016-07-01;2016;7;3.2656
2016-08-01;2016;8;3.1672
2016-09-01;2016;9;3.3326
2016-10-01;2016;10;3.1864
2016-11-01;2016;11;3.4446
2016-12-01;2016;12;3.383
2017-01-01;2017;1;3.2034
2017-02-01;2017;2;3.0779
2017-03-01;2017;3;3.1629
2017-04-01;2017;4;3.1269
2017-05-01;2017;5;3.1011
2017-06-01;2017;6;3.2836
2017-07-01;2017;7;3.1899
2017-08-01;2017;8;3.1976
2017-09-01;2017;9;3.1255
2017-10-01;2017;10;3.1572
2017-11-01;2017;11;3.2802
2017-12-01;2017;12;3.3176
2018-01-01;2018;1;3.1963
2018-02-01;2018;2;3.2208
2018-03-01;2018;3;3.2859
2018-04-01;2018;4;3.4105
2018-05-01;2018;5;3.6753
2018-06-01;2018;6;3.7738
2018-07-01;2018;7;3.8745
2018-08-01;2018;8;3.9134
2018-09-01;2018;9;4.1879
2018-10-01;2018;10;3.7332
2018-11-01;2018;11;3.7924
2018-12-01;2018;12;3.909
2019-01-01;2019;1;3.6513
2019-02-01;2019;2;3.7379
2019-03-01;2019;3;3.8961
2019-04-01;2019;4;3.9447
2019-05-01;2019;5;3.9401
2019-06-01;2019;6;3.8316
2019-07-01;2019;7;3.7643
2019-08-01;2019;8;4.1379
2019-09-01;2019;9;4.1638
2019-10-01;2019;10;4.0035
2019-11-01;2019;11;4.2234
2019-12-01;2019;12;4.0301
2020-01-01;2020;1;4.2689
2020-02-01;2020;2;4.4981
2020-03-01;2020;3;5.1981
2020-04-01;2020;4;5.4264
2020-05-01;2020;5;5.4257
2020-06-01;2020;6;5.4754
2020-07-01;2020;7;5.2027
2020-08-01;2020;8;5.4707
2020-09-01;2020;9;5.6401
2020-10-01;2020;10;5.7712
2020-11-01;2020;11;5.3311
2020-12-01;2020;12;5.1961
2021-01-01;2021;1;5.4753
2021-02-01;2021;2;5.5296
2021-03-01;2021;3;5.6967
2021-04-01;2021;4;5.403
2021-05-01;2021;5;5.2316
2021-06-01;2021;6;5.0016
2021-07-01;2021;7;5.121
2021-08-01;2021;8;5.1427
2021-09-01;2021;9;5.4388
2021-10-01;2021;10;5.6424
2021-11-01;2021;11;5.6193
2021-12-01;2021;12;5.5799
2022-01-01;2022;1;5.3568
2022-02-01;2022;2;5.1388
2022-03-01;2022;3;4.7273
2022-04-01;2022;4;4.9185
2022-05-01;2022;5;4.7283
2022-06-01;2022;6;5.2374
2022-07-01;2022;7;5.1878
2022-08-01;2022;8;5.1784
2022-09-01;2022;9;5.406
2022-10-01;2022;10;5.2564
2022-11-01;2022;11;5.2935
2022-12-01;2022;12;5.2171
2023-01-01;2023;1;5.0987
2023-02-01;2023;2;5.2072
2023-03-01;2023;3;5.0798
2023-04-01;2023;4;5.0001
2023-05-01;2023;5;5.0953
2023-06-01;2023;6;4.8186
2023-07-01;2023;7;4.7409
2023-08-01;2023;8;4.9213
2023-09-01;2023;9;5.007
2023-10-01;2023;10;0.0
2023-11-01;2023;11;0.0
2023-12-01;2023;12;0.0
